產品名稱,公司,產品類別,銷售通路,公司官網,產品頁面
統一陽光糙米漿,統一企業股份有限公司,飲品,"['全聯', '美廉社', '惠康', '量販店(家樂福、大潤發、愛買)', '便利商店(7-11、全家、萊爾富、OK)']",,https://eatender.firdi.org.tw/product/detail?id=13209
2021社會企業|老梅肉,友聚生機實業股份有限公司,其他,"['愛飯團', 'Pinkoi', '台灣主婦聯盟生活消費合作社/GREEN&SAFE永豐餘生技/健康食彩', '家樂福Impact概念店']",https://www.2021.com.tw/SalePage/Index/6341452,https://eatender.firdi.org.tw/product/detail?id=13789
純煉-紅棗枸杞滴雞精,寶島手路菜有限公司,其他,"['pchome購物網', 'momo購物網', 'yahoo購物中心', '無', '無', '無', '無', '無']",https://www.privatecuisine.tw/,https://eatender.firdi.org.tw/product/detail?id=13788
有機乾燥雨來菇,沁園企業社,其他,"['三立電電購', '恆春農會超市']",https://www.facebook.com/sgshealthy,https://eatender.firdi.org.tw/product/detail?id=13786
純煉-十全龜鹿滴雞精,寶島手路菜有限公司,其他,"['pchome購物網', 'momo購物網', 'yahoo購物中心', '無', '無', '無', '無', '無']",https://www.privatecuisine.tw/categories/%E5%8D%81%E5%85%A8%E9%BE%9C%E9%B9%BF%E6%BB%B4%E9%9B%9E%E7%B,https://eatender.firdi.org.tw/product/detail?id=13803
安永-石斑魚高湯,安永生活事業股份有限公司,其他,['安永鮮物'],https://www.anyongfresh.com/Product/11917,https://eatender.firdi.org.tw/product/detail?id=13797
黃金蟲草飲6入,順天本草股份有限公司,其他,"['PCHOME購物', '東森購物', 'momo購物網', '中藥房、中醫診所', '有', '無', '無', '無', '無']",http://www.suntenherb.com.tw/tw/product/show.aspx?num=210&kind=3&page=1,https://eatender.firdi.org.tw/product/detail?id=13810
芳茲日月養生滴雞精,芳茂企業股份有限公司,其他,"['pinkoi', '蝦皮商城', 'momo購物網', '振興醫院、台北市立萬芳醫院、台中榮民總醫院']",https://www.fun-s.com.tw/products/essenceofchicken-pack,https://eatender.firdi.org.tw/product/detail?id=13801
芳茲日月養生滴魚精,芳茂企業股份有限公司,其他,"['pinkoi', '蝦皮商城', 'momo購物網', '振興醫院、台北市立萬芳醫院、台中榮民總醫院']",https://www.fun-s.com.tw/categories/essenceoffish,https://eatender.firdi.org.tw/product/detail?id=13805
芳茲燕窩胜肽美妍飲,芳茂企業股份有限公司,其他,"['蝦皮商城', 'momo購物網', '振興醫院、台北市立萬芳醫院、台中榮民總醫院']",https://www.fun-s.com.tw/categories/cubilose-beauty,https://eatender.firdi.org.tw/product/detail?id=13830
芳茲燕窩胜肽銀耳飲,芳茂企業股份有限公司,其他,"['pinkoi', '蝦皮商城', 'momo購物網', '振興醫院、台北市立萬芳醫院、台中榮民總醫院']",https://www.fun-s.com.tw/categories/cubilose,https://eatender.firdi.org.tw/product/detail?id=13831
