source,key,site,price,name,event,link
findprice,娘家大紅麴,Yahoo奇摩超級商城 - 德芳保健藥妝,"$ 2,451",民視 娘家大紅麴膠囊 30顆入【德芳保健藥妝】*SNQ國家品質標章*,"['', '']",https://www.findprice.com.tw/go/g678gnsq/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,樂天市場 - 十二願藥局x心心藥局,"$ 2,299",【官方5正貨】娘家 大紅麴膠囊(30粒) (1盒/3盒/6盒) 娘家 大紅麴 十二願藥局,"['活動\n樂天購物市集 指定店家 天天領券現領現折', '']",https://www.findprice.com.tw/go/gq7nzhw3/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,樂天市場 - 安康藥妝,"$ 2,299",娘家 大紅麴膠囊 30入/盒｜公司貨-原廠授權之銷售通路《刷樂天卡滿$5000賺10%點數回饋》,"['活動\n樂天購物市集 指定店家 天天領券現領現折', '']",https://www.findprice.com.tw/go/g8qvpbgy/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,Yahoo奇摩超級商城 - 元氣健康館,"$ 4,542",2盒組 娘家- 大紅麴（30粒/盒）元氣健康館,"['', '']",https://www.findprice.com.tw/go/gxxr78wh/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,Yahoo奇摩購物中心,"$ 4,894",娘家大紅麴2盒組(30粒/盒) 原廠公司貨,"['', '']",https://www.findprice.com.tw/go/gmtpxfwj/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,家樂福線上購物網,"$ 6,811",娘家大紅麴三件組,"['', '']",https://www.findprice.com.tw/go/g2ndgud8/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,SuperBuy市集,"$ 6,811",娘家大紅麴膠囊3盒88折,"['', '']",https://www.findprice.com.tw/go/gipfs7sf/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,Yahoo奇摩購物中心,"$ 6,811",娘家大紅麴30粒3入/組 娘家系列產品【杏一】,"['', '']",https://www.findprice.com.tw/go/g3ihyz36/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,樂天市場 - 安康藥妝,"$ 6,690",娘家 大紅麴膠囊 30入/盒X3盒 組合價｜公司貨-原廠授權之銷售通路《刷樂天卡滿$5000賺10%點數回饋》,"['活動\n樂天購物市集 指定店家 天天領券現領現折', '']",https://www.findprice.com.tw/go/g62i72k7/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,樂天市場 - 天妍,"$ 2,451",娘家大紅麴30粒,"['活動\n樂天購物市集 指定店家 天天領券現領現折', '']",https://www.findprice.com.tw/go/gcsr7eg4/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,蝦皮商城 - 屈臣氏Watsons,"$ 2,451",娘家大紅麴膠囊30粒,"['活動\n蝦皮7.7夏日免運節 領6張免運券', '折扣\n6月薪客滿299折150  折扣碼：IA202206 複製折扣碼 ']",https://www.findprice.com.tw/go/gs3yf6u5/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
