source,key,site,price,name,event,link
google,娘家大紅麴,iQueen愛女人購物網,HK$682.85,【娘家】大紅麴30粒/盒,['+Shipping'],https://www.google.com/url?url=https://www.iqueen.com.tw/SalePage/Index/6821295%3Flang%3Dzh-TW%26currency%3DTWD%3Fcurrency%3DHKD%26lang%3Dzh-TW&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwja6brRgq_4AhWLplYBHWsfB94QgOUECMAF&usg=AOvVaw29xdChYF24p6UeCY3d6sJv
google,娘家大紅麴,HKTVmall - HKTVmall,HK$178.00,優之源特效降醇紅麴納豆激酶片(高級版) 60克 (250毫克x240粒) (002784),['+Shipping'],https://www.google.com/url?url=https://www.hktvmall.com/hktv/zh/main/%25E5%2584%25AA%25E3%2581%25AE%25E6%25BA%2590/s/H5573001/%25E8%25AD%25B7%25E7%2590%2586%25E4%25BF%259D%25E5%2581%25A5/%25E8%25AD%25B7%25E7%2590%2586%25E4%25BF%259D%25E5%2581%25A5/%25E4%25BF%259D%25E5%2581%25A5%25E7%2594%25A2%25E5%2593%2581/%25E5%25BF%2583%25E8%2587%259F%25E8%25A1%2580%25E7%25AE%25A1%25E5%2581%25A5%25E5%25BA%25B7/%25E5%2584%25AA%25E4%25B9%258B%25E6%25BA%2590%25E7%2589%25B9%25E6%2595%2588%25E9%2599%258D%25E9%2586%2587%25E7%25B4%2585%25E9%25BA%25B4%25E7%25B4%258D%25E8%25B1%2586%25E6%25BF%2580%25E9%2585%25B6%25E7%2589%2587%25E9%25AB%2598%25E7%25B4%259A%25E7%2589%2588-60%25E5%2585%258B-250%25E6%25AF%25AB%25E5%2585%258Bx240%25E7%25B2%2592-002784/p/H5573001_S_000311&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwja6brRgq_4AhWLplYBHWsfB94QgOUECMwF&usg=AOvVaw2B9E_iUa_sJotX3sgF9IBA
google,娘家大紅麴,HKTVmall - HKTVmall,HK$398.00,納豆紅麴 500毫克X90片X3瓶,['+Shipping'],https://www.google.com/url?url=https://www.hktvmall.com/hktv/zh/main/Brilliance-International-(HK)-Limited/s/S1038001/%25E8%25AD%25B7%25E7%2590%2586%25E4%25BF%259D%25E5%2581%25A5/%25E8%25AD%25B7%25E7%2590%2586%25E4%25BF%259D%25E5%2581%25A5/%25E4%25BF%259D%25E5%2581%25A5%25E7%2594%25A2%25E5%2593%2581/%25E5%25BF%2583%25E8%2587%259F%25E8%25A1%2580%25E7%25AE%25A1%25E5%2581%25A5%25E5%25BA%25B7/%25E7%25B4%258D%25E8%25B1%2586%25E7%25B4%2585%25E9%25BA%25B4-500%25E6%25AF%25AB%25E5%2585%258BX90%25E7%2589%2587X3%25E7%2593%25B6/p/S1038001_S_A93570&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwja6brRgq_4AhWLplYBHWsfB94QgOUECNcF&usg=AOvVaw3h3erAC6LoeRik_lMEEn3t
google,娘家大紅麴,HKTVmall - HKTVmall,HK$38.90,養生紅麴納豆(200g),['+Shipping'],https://www.google.com/url?url=https://www.hktvmall.com/hktv/zh/main/%25E9%25A0%2598%25E9%25AB%2598(%25E5%2593%2581%25E5%2590%2589)%25E5%259C%258B%25E9%259A%259B%25E8%25B2%25BF%25E6%2598%2593%25E5%2585%25AC%25E5%258F%25B8/s/H6624001/%25E8%25B6%2585%25E7%25B4%259A%25E5%25B7%25BF%25E5%25A0%25B4/%25E8%25B6%2585%25E7%25B4%259A%25E5%25B8%2582%25E5%25A0%25B4/%25E9%259B%25B6%25E9%25A3%259F-%25E7%2594%259C%25E5%2593%2581/%25E8%258A%25B1%25E7%2594%259F-%25E6%259E%259C%25E4%25BB%2581/%25E6%259E%259C%25E4%25BB%2581/%25E9%25A4%258A%25E7%2594%259F%25E7%25B4%2585%25E9%25BA%25B4%25E7%25B4%258D%25E8%25B1%2586200g/p/H6624001_S_TDF-19441&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwja6brRgq_4AhWLplYBHWsfB94QgOUECOIF&usg=AOvVaw1tOjyvYgUiaJevesmP2AK0
google,娘家大紅麴,iQueen愛女人購物網,"HK$1,820.93",【娘家】大紅麴30粒/盒*3,['+Shipping'],https://www.google.com/url?url=https://www.iqueen.com.tw/SalePage/Index/6916113%3Flang%3Dzh-TW%26currency%3DTWD%3Fcurrency%3DHKD%26lang%3Dzh-TW&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwja6brRgq_4AhWLplYBHWsfB94QgOUECO0F&usg=AOvVaw0afHlB8-6H98gLFVC8cQKN
google,娘家大紅麴,Karley Aroma,HK$13.00,紅麴粉(食用級別) Red Yeast Powder,['運費：HK$42.00'],https://www.google.com/url?url=https://karleyaroma.boutir.com/i/RM4kaEgAA%3Flang%3Dzh-Hant&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwja6brRgq_4AhWLplYBHWsfB94QgOUECPkF&usg=AOvVaw3k0mnZktar_Ehpb7VZ0WdD
google,娘家大紅麴,HKTVmall - HKTVmall,HK$168.00,納豆紅麴血管清 400毫克X60粒 膠囊,['+Shipping'],https://www.google.com/url?url=https://www.hktvmall.com/hktv/zh/main/Brilliance-International-(HK)-Limited/s/S1038001/%25E8%25AD%25B7%25E7%2590%2586%25E4%25BF%259D%25E5%2581%25A5/%25E8%25AD%25B7%25E7%2590%2586%25E4%25BF%259D%25E5%2581%25A5/%25E4%25BF%259D%25E5%2581%25A5%25E7%2594%25A2%25E5%2593%2581/%25E5%25BF%2583%25E8%2587%259F%25E8%25A1%2580%25E7%25AE%25A1%25E5%2581%25A5%25E5%25BA%25B7/%25E7%25B4%258D%25E8%25B1%2586%25E7%25B4%2585%25E9%25BA%25B4%25E8%25A1%2580%25E7%25AE%25A1%25E6%25B8%2585-400%25E6%25AF%25AB%25E5%2585%258BX60%25E7%25B2%2592-%25E8%2586%25A0%25E5%259B%258A/p/S1038001_S_A36072&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwja6brRgq_4AhWLplYBHWsfB94QgOUECIQG&usg=AOvVaw2i_CFDuUCFBZoxhgpEQh60
google,娘家大紅麴,大棧網購平台 Max Choice Online,HK$378.00,台灣 納豆紅麴 (90粒),['+Shipping'],https://www.google.com/url?url=https://buy.hknest.com/products/%25E5%258F%25B0%25E7%2581%25A3-%25E7%25B4%258D%25E8%25B1%2586%25E7%25B4%2585%25E9%25BA%25B4-90%25E7%25B2%2592%3Flocale%3Dzh-hant&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwja6brRgq_4AhWLplYBHWsfB94QgOUECI8G&usg=AOvVaw3SYj6hXZkratrVgrKG748t
google,娘家大紅麴,HKTVmall - HKTVmall,HK$338.00,一番營養 - 納麴丸,['+Shipping'],https://www.google.com/url?url=https://www.hktvmall.com/hktv/zh/main/Healfront-Limited---O%27farm/s/H5132001/%25E8%25AD%25B7%25E7%2590%2586%25E4%25BF%259D%25E5%2581%25A5/%25E8%25AD%25B7%25E7%2590%2586%25E4%25BF%259D%25E5%2581%25A5/%25E4%25BF%259D%25E5%2581%25A5%25E7%2594%25A2%25E5%2593%2581/%25E5%2581%25A5%25E5%25BA%25B7%25E9%2585%258D%25E9%25A3%25BE/%25E7%25B4%258D%25E9%25BA%25B4%25E4%25B8%25B8/p/H5132001_S_HF0301&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwja6brRgq_4AhWLplYBHWsfB94QgOUECJoG&usg=AOvVaw3335SRY3VqP--Lf_RiQTQO
google,娘家大紅麴,夠薑辦館,"HK$5,408.00",【台灣直送】娘家 大紅麴 30粒/盒,['免運費'],https://www.google.com/url?url=https://www.feelguts.com/products/5f7aa439ac8eb2002fbd7469%3Fvariation%3D5f7abaaf6600630017a02b9f&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwja6brRgq_4AhWLplYBHWsfB94QgOUECKUG&usg=AOvVaw2wrWrx1PVsCqFlBmo82G7Y
