經營業者名稱,負責人,證書字號,所在地,電話,評鑑有效日期,通過產品數,通過評鑑日期,標準,產品名稱
合興通食品股份有限公司,賴冠豪,TIC-0100,台灣(台中市),04-22651166,2023/06/30,3,2022/05/03,雙潔淨,老鷹紅豆餡(3kg/包)、老鷹蜜紅豆粒(3kg/包)
合興通食品股份有限公司,賴冠豪,TIC-0100,台灣(台中市),04-22651166,2023/06/30,3,2022/05/26,雙潔淨,老鷹紅豆餡(銅鑼燒專用)(5kg/包)
萬鑫企業股份有限公司,鄭榮蘭,TIC-0099,台灣(桃園市),03-321-1580,2023/06/30,5,2022/05/03,雙潔淨,Sunny Ranch特選無調味綜合堅果(1000g/罐)、Sunny Ranch特選綜合堅果仁(1000g/罐)、Sunny Ranch精選無調味綜合桶(600g/罐)、Sunny Ranch無調味烘烤雙果(350g/罐)、Sunny Ranch綜合纖果(350g/罐)
中祥食品工業股份有限公司,李昭志,TIC-0098,台灣(桃園市),03-3713688,2023/06/30,6,2022/04/26,潔淨,湖鹽野菜蘇打餅（160g/袋、144g/盒）、湖鹽藜麥蘇打餅（140g/袋、126g/盒）、湖鹽亞麻籽蘇打餅（140g/袋、126g/盒）
龍口食品企業股份有限公司,張中光,TIC-0097,台灣(台北市),02-23258800,2023/09/30,12,2020/09/01,雙潔淨,龍口粉絲(160g/包)(里仁)
龍口食品企業股份有限公司,張中光,TIC-0097,台灣(台北市),02-23258800,2023/09/30,12,2022/04/15,100%無添加,龍口粉絲(快煮型)(105g/包)、龍口寬粉(快煮型)(105g/包)、龍口有機粉絲(175g/包)、龍口有機寬粉(175g/包)、龍口粉絲(久煮型)(210g/包)、龍口寬粉(久煮型)(210g/包)、龍口純翠粉絲(175g/包)、龍口純翠寬粉(175g/包)、龍口春雨粉絲(120g/包)、龍口春雨寬粉(120g/包)、龍口大寬寬粉絲(300g/包)
