伊勒伯科技股份有限公司
啟基生技股份有限公司
捷健國際股份有限公司
一力藥廠股份有限公司
一大藥品有限公司
一百實業股份有限公司
一成藥品股份有限公司
一安堂企業股份有限公司
一皇寶企業有限公司
一商企業有限公司
一華企業有限公司
一昇企業有限公司
一昇企業有限公司鳳山廠
一德商行
臺北市立聯合醫院
一德藥品廠股份有限公司
一龍化學貿易有限公司
一駿貿易有限公司
乙貫堂製藥廠
一藥企業股份有限公司
一心化妝品廠股份有限公司
一協紀股份有限公司
高雄市立聯合醫院
高雄市立民生醫院
衛生福利部臺中醫院
衛生福利部樂生療養院
衛生福利部苗栗醫院
衛生福利部南投醫院
衛生福利部草屯療養院
衛生福利部胸腔病院
衛生福利部嘉南療養院
衛生福利部屏東醫院
衛生福利部澎湖醫院
衛生福利部金門醫院
七星化學製藥股份有限公司
七原貿易股份有限公司
七海企業股份有限公司
七健貿易股份有限公司
七偉行
七順股份有限公司
七富貿易有限公司
七懋實業股份有限公司
力大藥品有限公司
力友實業社
力凱企業有限公司
力嘉化學藥品有限公司
力厲企業有限公司
人人化學製藥股份有限公司
人人化學製藥股份有限公司中壢廠
人生藥局
人生製藥股份有限公司
人安藥品有限公司
人壽製藥廠股份有限公司
十全藥局
十全實業股份有限公司
十蜂（台灣）股份有限公司
力暢企業股份有限公司
卜蜂（台灣）股份有限公司
力洪實業有限公司
七春貿易股份有限公司
九龍製藥工業有限公司
九英企業有限公司
八億實業股份有限公司
九和儀器試藥股份有限公司
又強儀器有限公司
卜田實業有限公司
九彥貿易有限公司
九桑化工廠有限公司
力瑪企業有限公司
台南市立醫院(委託秀傳醫療社團法人經營)
連江縣立醫院
大川實業有限公司
大山製藥廠
大中有限公司
大中有限公司製藥廠
大中華製藥廠
大方藥行
大友股份有限公司
大申貿易有限公司
大立藥品工業有限公司
大田製藥廠西藥部
大有企業股份有限公司
大全榮製藥股份有限公司
大同安藥業股份有限公司
大同化學製藥廠股份有限公司
大光化學製藥廠
久德製藥廠有限公司
大志貿易有限公司
大佑貿易股份有限公司
大安製藥廠
大昕企業有限公司
大法貿易股份有限公司
大東亞貿易有限公司
大明產業股份有限公司
大東製藥廠
上品藥業有限公司
大明製藥廠
大明膠囊工業股份有限公司
大昌製藥廠
大典製藥股份有限公司
大林製藥廠股份有限公司
大亭光學有限公司
大英企業股份有限公司
大洲企業股份有限公司
大洋貿易股份有限公司
大茂製藥工業有限公司
三輔通商股份有限公司
